MONTH	P_TC	P_PFPR	P_TACT_code	P_TACT	FREQ_580Y_99	FREQ_580Y_95	FREQ_580Y_75	FREQ_580Y_50	FREQ_580Y_25	FREQ_580Y_05	FREQ_580Y_01	TFR_99	TFR_95	TFR_75	TFR_50	TFR_25	TFR_05	TFR_01	PFPR_99	PFPR_95	PFPR_75	PFPR_50	PFPR_25	PFPR_05	PFPR_01
113	0.25	0.1	ASMQ_PPQ	1	0.73710867	0.55665935	0.23107225	0.1204955	0.037008525	0.009115468	0	0.25	0.1440475	0.0364011	0	0	0	0	0.000362495	0.0002983	0.0001935	0.000127	0.000075125	0.000034925	0.000013945
114	0.25	0.1	ASMQ_PPQ	1	0.72858802	0.52134635	0.239581	0.1079855	0.034983075	0.004368275	0	0.20030769	0.166667	0.0555556	0	0	0	0	0.000352005	0.0003038	0.000193625	0.0001255	0.00008175	0.000032975	0.000013425
115	0.25	0.1	ASMQ_PPQ	1	0.66844477	0.55909595	0.24343275	0.1054325	0.03966765	0.005824489	0	0.22249978	0.1440475	0.046590875	0	0	0	0	0.00035728	0.000300575	0.000184125	0.00013	0.000076	0.00003045	0.000012925
116	0.25	0.1	ASMQ_PPQ	1	0.7266222	0.6576192	0.23016	0.1122765	0.0435602	0.00882725	0.002690336	0.285714	0.15448705	0.0376553	0	0	0	0	0.00035765	0.000299675	0.00018075	0.000126	0.00007425	0.00002995	0.000013425
117	0.25	0.1	ASMQ_PPQ	1	0.73448244	0.5964496	0.229648	0.118034	0.046318875	0.00675561	0.00272737	0.5	0.16833365	0	0	0	0	0	0.000347805	0.0002819	0.000180375	0.00012375	0.000074875	0.0000265	0.000014415
118	0.25	0.1	ASMQ_PPQ	1	0.74350535	0.5549767	0.23801025	0.116639	0.0434783	0.008418498	0.004358308	0.505	0.2025	0	0	0	0	0	0.000342755	0.000276375	0.00017025	0.00011975	0.00007175	0.00002785	0.000013425
119	0.25	0.1	ASMQ_PPQ	1	0.76124872	0.55020835	0.21793875	0.1227585	0.042209825	0.009599243	0.003084107	1	0.17764745	0.03777775	0	0	0	0	0.0003468	0.000285575	0.00016475	0.00011925	0.00007225	0.000031425	0.00001143
120	0.25	0.1	ASMQ_PPQ	1	0.85702957	0.6258013	0.214883	0.113183	0.041289	0.003961409	0	0.33399967	0.2011111	0.045995625	0	0	0	0	0.000344405	0.000288075	0.000166375	0.000117	0.000071375	0.0000308	0.00001538
-12	0.25	0.1	ASMQ_PPQ	1	0.35693208	0.18041955	0.10275075	0.0532117	0.0260637	0.006311388	0.002483276	0.30861508	0.26537405	0.210779	0.186445	0.13926675	0.10459085	0.062309783	0.001239705	0.0011157	0.00069225	0.00057975	0.00042975	0.000237275	0.00018282
-11	0.25	0.1	ASMQ_PPQ	1	0.33620329	0.16961385	0.10472275	0.05410095	0.0265067	0.006550321	0.001712301	0.26559412	0.2580928	0.206897	0.1655255	0.12907625	0.071190505	0.051206859	0.001244505	0.00109525	0.0006925	0.00056875	0.000436125	0.000238375	0.000179385
-10	0.25	0.1	ASMQ_PPQ	1	0.33031922	0.15930005	0.10538425	0.0540695	0.026258375	0.0040544	0.002530233	0.29417682	0.27288375	0.217641	0.181818	0.13598075	0.071190505	0.038076885	0.001243105	0.001059725	0.0007035	0.0005635	0.000432125	0.000235375	0.000165115
